term_type	term_id	term_source	term_name	term_description
C21	D000069474	internal	Sofosbuvir	Sofosbuvir (tradename Sovaldi) is a direct acting antiviral medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as sofosbuvir. As a prodrug nucleotide analog, Sofosbuvir is metabolized into its active form as the antiviral agent 2'-deoxy-2'-α-fluoro-β-C-methyluridine-5'-triphosphate (also known as GS-461203), which acts as a defective substrate for NS5B (non-structural protein 5B) [synthesis]. NS5B, an RNA-dependent RNA polymerase, is essential for the transcription of Hepatitis C viral RNA and for its high replicative rate and genetic diversity [A19594]. Sofosbuvir and other direct acting antivirals are therefore very potent options for the treatment of Hepatitis C, as they exhibit a high barrier to the development of resistance [A19593]. This is an important advantage relative to HCV drugs that target other viral enzymes such as the protease, for which rapid development of resistance has proven to be an important cause of therapeutic failure.  In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) recommend Sofosbuvir as first line therapy in combination with other antivirals for all six genotypes of Hepatitis C [L852]. Depending on the genotype, sofosbuvir is often used in combination with other antivirals such as [DB09027], [DB11613], [DB09102], [DB06290], [DB11574], [DB11575], [DB00811], [DB00008], or [DB00022] with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626]. Treatment with direct acting antivirals such as sofosbuvir is associated with very minimal side effects, with the most common being headache and fatigue [FDA Label]. Lack of significant side effects and short duration of therapy is a considerable advantage over older interferon- and ribavirin-based regimens, which were limited by infusion site reactions, reduced blood count, and neuropsychiatric effects [A19635]. Since 2014, sofosbuvir has been available as a fixed dose combination product with [DB09027] (tradename Harvoni) used for the treatment of chronic Hepatitis C. Approved in October 2014 by the FDA, Harvoni is indicated for the treatment of HCV genotypes 1, 4, 5, and 6 with or without [DB00811] depending on the level of liver damage or cirrhosis [FDA Label].  When combined together, ledipasvir and sofosbuvir as the combination product Harvoni has been shown to achieve a SVR between 93 and 99% after 12 weeks of treatment [A7535]. Its use has also proven successful in the treatment of HCV in patients co-infected with HIV [A19627].Sofosbuvir is also available as a fixed dose combination product with [DB11613] as the commercially available product Epclusa. First approved in June 2016, Epclusa is the first combination HCV product indicated for the treatment of all genotypes of Hepatitis C with or without cirrhosis. Epclusa is also currently the most potent HCV antiviral medication on the market with a sustained virologic response (SVR) after 12 weeks of therapy of 93-99% depending on genotype and level of cirrhosis [L852]. Both Canadian and American guidelines list Epclusa as a first line recommendation for all genotypes of HCV [L852, A19626].Notably, sofosbuvir has come under intense scrutiny since its release to market in 2013. With the price per pill set at $1000, a 12-week treatment can cost upwards of $84,000 per patient [A19636].	
C21	C586541	internal	methyl [(2S)-1-{(6S)-6-[4-(9,9-difluoro-7-{2-[(1R,3S,4S)-2-{(2S)-2-[(methoxycarbonyl)amino]-3-methylbutanoyl}-2-azabicyclo[2.2.1]hept-3-yl]-1H-benzimidazol-5-yl}-9H-fluoren-2-yl)-1H-imidazol-2-yl]-5-azaspiro[2.4]hept-5-yl}-3-methyl-1-oxobutan-2-yl]carbamate	Ledipasvir is a direct acting antiviral (DAA) medication used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) such as ledipasvir. More specifically, ledipasvir is an inhibitor of the Hepatitis C Virus (HCV) Non-Structural Protein 5A (NS5A), which is required for viral RNA replication and assembly of HCV virions. Although its exact mechanism of action is unknown, it is postulated to prevent hyperphosphorylation of NS5A which is required for viral protein production. It is effective against genotypes 1a, 1b, 4a, and 5a and with a lesser activity against genotypes 2a and 3a of HCV. Ledipasvir and other direct acting antivirals are very potent options for the treatment of Hepatitis C, as they exhibit a high barrier to the development of resistance [A19593]. This is an important advantage relative to HCV drugs that target other viral enzymes such as the protease, for which rapid development of resistance has proven to be an important cause of therapeutic failure.  In a joint recommendation published in 2016, the American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) recommend ledipasvir as a first line therapy option in combination with [DB08934] for the treatment of HCV genotypes 1a, 1b, 4, 5, and 6 [L852]. Treatment with ledipasvir is used with the intent to cure, or achieve a sustained virologic response (SVR), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626]. Treatment with direct acting antivirals such as ledipasvir is associated with very minimal side effects, with the most common being headache and fatigue [FDA Label]. Lack of significant side effects and short duration of therapy is a considerable advantage over older interferon- and ribavirin-based regimens, which were limited by infusion site reactions, reduced blood count, and neuropsychiatric effects [A19635]. Since 2014, ledipasvir has been available as a fixed dose combination product with [DB08934] (tradename Harvoni) used for the treatment of chronic Hepatitis C. Approved in October 2014 by the FDA, Harvoni is indicated for the treatment of HCV genotypes 1, 4, 5, and 6 with or without [DB00811] depending on the level of liver damage or cirrhosis [FDA Label].  When combined together, ledipasvir and sofosbuvir as the combination product Harvoni has been shown to achieve a SVR between 93 and 99% after 12 weeks of treatment [FDA Label]. Its use has also proven successful in the treatment of HCV in patients co-infected with HIV [A19627].	
C21	D000069547	internal	Cobicistat	Cobicistat, marketed under the name Tybost (formerly GS-9350), indicated for treating infection with human immunodeficiency virus (HIV). Although it does not have any anti-HIV activity, cobicistat acts as a pharmacokinetic enhancer by inhibiting cytochrome P450 3A isoforms (CYP3A) and therefore increases the systemic exposure of coadministered agents that are metabolized by CYP3A enzymes. More specifically, cobicistat is indicated to increase systemic exposure of atazanavir or darunavir (once daily dosing regimen) in combination with other antiretroviral agents in the treatment of HIV-1 infection. Increasing systemic exposure of anti-retrovirals (ARVs) without increasing dosage allows for better treatment outcomes and a decreased side effect profile.	
C21	C549273	internal	Daclatasvir	Daclatasvir is a direct-acting antiviral agent against Hepatitis C Virus (HCV) used for the treatment of chronic HCV genotype 1 and 3 infection. It is marketed under the name DAKLINZA and is contained in daily oral tablets as the hydrochloride salt form . Hepatitis C is an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Daclatasvir was the first drug with demonstrated safety and therapeutic efficacy in treating HCV genotype 3 without the need for co-administration of interferon or [DB00811]. It exerts its antiviral action by preventing RNA replication and virion assembly via binding to NS5A, a nonstructural phosphoprotein encoded by HCV. Binding to the N-terminus of the D1 domain of NS5A prevents its interaction with host cell proteins and membranes required for virion replication complex assembly. Daclatasvir is shown to target both the cis- and trans-acting functions of NS5A and disrupts the function of new HCV replication complexes by modulating the NS5A phosphorylation status [A19640]. The most common critical NS5A amino acid substitutions that led to reduced susceptibility to daclatasvir therapy occured at position Q30 (Q30H/K/R) and M28 in genotype 1a patients and Y93H in genotype 3 patients. According to 2017 American Association for the Study of Liver Diseases (AASLD), 60mg of daclatasvir is recommended with 400mg [DB08934] for genotype 1a/b patients with or without cirrhosis as second-line therapy. The same dosing regimen can be used as first-line therapy in patients with genotype 3 without cirrhosis and second-line therapy in genotype 3 patients with compensated cirrhosis. Combination therapies that include daclatasir can be used for challenging-to-treat patients who have HIV-1 coinfection, advanced cirrhosis, or post-liver transplant recurrence of HCV [L863]. The therapy is intended to cure or achieve a sustained virologic response (SVR12), after 12 weeks of daily therapy. SVR and eradication of HCV infection is associated with significant long-term health benefits including reduced liver-related damage, improved quality of life, reduced incidence of Hepatocellular Carcinoma, and reduced all-cause mortality [A19626]. Daclatasvir was FDA-approved in July 2015 for use with [DB08934] (Sovaldi) with or without [DB00811] to treat HCV genotype 1 and 3 infections. The SVR12 in HCV genotype 1a-infected treatment-naïve subjects without and with cirrhosis undergoing daclatasvir and [DB08934] therapy were 88% and 99%, respectively [FDA Label]. The same dosing regimen in treatment-naïve patients with HCV genotype 3 infection with or without cirrhosis achieved SVR12 rates of 71% and 98%, respectively [FDA Label].	
C21	C571889	internal	Asunaprevir	Asunaprevir, also named as BMS-650032, is a potent hepatitis C virus (HCV) NS3 protease inhibitor. It has been shown to have a very high efficacy in dual-combination regimens with daclatasvir in patients chronically infected with HCV genotype 1b.[A32528] It was developed by Bristol-Myers Squibb Canada and approved by Health Canada on April 22, 2016. The commercialization of asunaprevir was canceled one year later on October 16, 2017.[L1113]	
C21	D008720	internal	Methisazone		
C1	D059965	internal	merkel cell polyomavirus		
C1	D008979	internal	moloney murine leukemia virus		
C1	D015302	internal	simian immunodeficiency virus		
C1	D015367	internal	human t-lymphotropic virus 2		
C1	D002042	internal	bunyamwera virus		
C1	D014790	internal	visna-maedi virus		
C1	C000612320	internal	ur2 sarcoma virus		
C1	C000623754	internal	mokola lyssavirus		
C1	D001820	internal	bluetongue virus		
C1	D014902	internal	west nile virus		
C1	D002646	internal	chikungunya virus		
C1	D012672	internal	semliki forest virus		
C1	D022141	internal	jaagsiekte sheep retrovirus		
C1	C000623744	internal	porcine rubulavirus		
C1	D015608	internal	cowpox virus		
C1	D014616	internal	vaccinia virus		
C1	C000623767	internal	human mastadenovirus a		
C1	D012845	internal	sindbis virus		
C1	D012412	internal	rubella virus		
C1	D016093	internal	mason-pfizer monkey virus		
C1	D000071244	internal	zika virus		
C1	D052736	internal	rous sarcoma virus		
C3	D004423	internal	ear		
C4	C069514	internal	map4		
C4	C011934	internal	mica		
C4	D012146	internal	rest		
C4	C004551	internal	tes		
C4	D005782	internal	gels		
C4	D045683	internal	furin		
C4	C538444	internal	ctnl1		
C4	D018171	internal	agrin		
C21	D000077560	internal	enfuvirtide	Enfuvirtide is a 36 amino acid biomimetic peptide that is structurally similar to the HIV proteins that are responsible for the fusion of the virus to cell membranes and subsequent intracellular uptake. The first agent in the novel class of antiretroviral drugs called HIV fusion inhibitors, enfuvirtide works by inhibiting HIV-1 fusion with CD4 cells.	
C21	D017245	internal	foscarnet	An antiviral agent used in the treatment of cytomegalovirus retinitis. Foscarnet also shows activity against human herpes viruses and HIV.	
C21	D010746	internal	phosphonoacetic acid	A simple organophosphorus compound that inhibits DNA polymerase, especially in viruses and is used as an antiviral agent. [PubChem]	
C21	C115201	internal	pleconaril	Pleconaril is an antiviral drug from _viral capsid inhibitor_ class, manufactured by _Schering-Plough_ and intended for the prevention of acute asthma exacerbations and common cold symptoms in asthmatic patients who have had exposure to _picornavirus_. It acts by inhibiting viral replication. The use of pleconaril has not gained approval by the U.S. Food and Drug Administration (FDA) due to the fact that it has been found to induce CYP3A enzyme activity, therefore increasing the risk for serious drug interactions.	
C21	C400401	internal	maribavir		
C21	D007542	internal	inosine pranobex	Inosine pranobex (Isoprinosine or Methisoprinol) is a combination of inosine, acetamidobenzoic acid, and dimethylaminoisopropanol used as an antiviral drug.	
C21	C004279	internal	tromantadine	Tromantadine is marketed as Viru-Merz in the Czech Republic [L5740]. It is an antiviral used in the treatment of herpes zoster and simplex.	
C21	C005267	internal	moroxydine		
C15	R1226	external	unclassified Anelloviridae		
C3	R1439	external	Ascovirus		
C3	R1466	external	Asfivirus		
C3	R1522	external	Alphabaculovirus		
C3	R1707	external	Betabaculovirus		
C3	R1845	external	Bidensovirus		
C3	R9552	external	Lomovskayavirus		
C3	R16182	external	Curtovirus		
C3	R16210	external	Mastrevirus		
C7	R16872	external	Herpesvirales		
C5	R16873	external	Alloherpesviridae		
C3	R16878	external	Cyprinivirus		
C3	R17482	external	Macavirus		
C3	R17502	external	Percavirus		
C3	R17850	external	Ostreavirus		
C6	R18010	external	Alphairidovirinae		
C3	R18022	external	Megalocytivirus		
C6	R18181	external	Betairidovirinae		
C7	R18320	external	Ligamenvirales		
C15	R18520	external	unclassified Microviridae		
C7	R19114	external	Ortervirales		
C15	R19171	external	unclassified Badnavirus		
C6	R19369	external	Orthoretrovirinae		
C9	R19578	external	Murine leukemia virus		
C15	R19655	external	unclassified Gammaretrovirus		
C6	R22632	external	Spumaretrovirinae		
C6	R22829	external	Firstpapillomavirinae		
C3	R23322	external	Omegapapillomavirus		
C3	R23607	external	Ambidensovirus		
C9	R23752	external	Carnivore amdoparvovirus 1		
C3	R23765	external	Aveparvovirus		
C15	R23836	external	unclassified Bocaparvovirus		
C3	R23943	external	Dependoparvovirus		
C9	R24108	external	Carnivore protoparvovirus 1		
C9	R24134	external	Rodent protoparvovirus 1		
C3	R24400	external	Chlorovirus		
C3	R24700	external	Bracovirus		
C3	R24731	external	Ichnovirus		
C3	R24748	external	Alphapolyomavirus		
C9	R24768	external	Human polyomavirus 5		
C3	R24900	external	Deltapolyomavirus		
C3	R25523	external	Betaentomopoxvirus		
C15	R25565	external	Riboviria		
C3	R25574	external	Betatetravirus		
C3	R25577	external	Omegatetravirus		
C3	R26321	external	Avsunviroid		
C3	R26328	external	Pelamoviroid		
C3	R26341	external	Benyvirus		
C3	R26445	external	Ourmiavirus		
C3	R49421	external	Alphacarmotetravirus		
C3	R49424	external	Alphachrysovirus		
C3	R49495	external	Ampelovirus		
C3	R49583	external	Velarivirus		
C3	R49623	external	Deltavirus		
C9	R50485	external	Pegivirus C		
C9	R50795	external	Pestivirus C		
C9	R50840	external	Pestivirus D		
C9	R51040	external	Orthohepevirus A		
C15	R51082	external	unclassified Hepeviridae		
C3	R51109	external	Hypovirus		
C3	R51281	external	Polerovirus		
C5	R51390	external	Matonaviridae		
C9	R51788	external	Citrus psorosis ophiovirus		
C11	R51806	external	Monjiviricetes		
C15	R51887	external	unclassified Bornaviridae		
C6	R52091	external	Orthoparamyxovirinae		
C15	R52752	external	unclassified Paramyxoviridae		
C5	R53182	external	Pneumoviridae		
C15	R53266	external	unclassified Pneumoviridae		
C3	R53304	external	Cytorhabdovirus		
C9	R53492	external	Salmonid novirhabdovirus		
C3	R53504	external	Nucleorhabdovirus		
C3	R53559	external	Sprivivirus		
C9	R53629	external	Indiana vesiculovirus		
C9	R53645	external	New Jersey vesiculovirus		
C7	R53933	external	Bunyavirales		
C3	R53947	external	Mammarenavirus		
C15	R54071	external	unclassified Arenaviridae		
C15	R54413	external	unclassified Orthohantavirus		
C9	R54781	external	Nairobi sheep disease orthonairovirus		
C5	R54825	external	Peribunyaviridae		
C9	R54869	external	Bunyamwera orthobunyavirus		
C9	R54938	external	Kaeng Khoi orthobunyavirus		
C9	R54946	external	La Crosse orthobunyavirus		
C5	R55190	external	Phenuiviridae		
C9	R55266	external	Rift Valley fever phlebovirus		
C9	R55278	external	Sandfly fever Naples phlebovirus		
C9	R55344	external	Uukuniemi phlebovirus		
C3	R55594	external	Orthotospovirus		
C7	R55718	external	Articulavirales		
C3	R55724	external	Alphainfluenzavirus		
C3	R168222	external	Betainfluenzavirus		
C8	R187209	external	Arnidovirineae		
C9	R187280	external	Gammaarterivirus lacdeh		
C8	R187314	external	Cornidovirineae		
C15	R187317	external	unclassified Coronavirinae		
C6	R187799	external	Orthocoronavirinae		
C4	R187847	external	Pedacovirus		
C4	R187868	external	Tegacovirus		
C4	R188251	external	Embecovirus		
C9	R188328	external	Murine coronavirus		
C9	R188401	external	Severe acute respiratory syndrome-related coronavirus		
C9	R188867	external	Avian coronavirus		
C8	R189011	external	Ronidovirineae		
C6	R189079	external	Torovirinae		
C3	R189115	external	Alphanodavirus		
C3	R189126	external	Betanodavirus		
C3	R189452	external	Gammapartitivirus		
C5	R189709	external	Picobirnaviridae		
C7	R190047	external	Picornavirales		
C3	R190049	external	Aparavirus		
C3	R190062	external	Cripavirus		
C3	R190080	external	Triatovirus		
C3	R190143	external	Iflavirus		
C9	R190481	external	Cardiovirus A		
C9	R190492	external	Cardiovirus B		
C3	R192065	external	Potamipivirus		
C3	R192159	external	Senecavirus		
C3	R192407	external	Cheravirus		
C6	R192416	external	Comovirinae		
C3	R192528	external	Torradovirus		
C3	R192813	external	Apscaviroid		
C3	R192838	external	Cocadviroid		
C3	R192857	external	Hostuviroid		
C3	R192866	external	Pospiviroid		
C3	R192897	external	Bymovirus		
C3	R192910	external	Ipomovirus		
C3	R192948	external	Macluravirus		
C3	R192968	external	Poacevirus		
C3	R193374	external	Rymovirus		
C3	R193379	external	Tritimovirus		
C6	R193426	external	Sedoreovirinae		
C3	R193598	external	Phytoreovirus		
C6	R195120	external	Spinareovirinae		
C3	R195156	external	Cypovirus		
C3	R195206	external	Fijivirus		
C9	R195325	external	Mammalian orthoreovirus		
C3	R195383	external	Oryzavirus		
C3	R195470	external	Sobemovirus		
C3	R195625	external	Umbravirus		
C6	R195648	external	Procedovirinae		
C3	R195649	external	Alphacarmovirus		
C3	R195658	external	Alphanecrovirus		
C3	R195673	external	Betacarmovirus		
C3	R195678	external	Betanecrovirus		
C3	R195684	external	Gammacarmovirus		
C3	R195691	external	Machlomovirus		
C3	R195694	external	Panicovirus		
C3	R195701	external	Pelarspovirus		
C15	R195756	external	unclassified Tombusviridae		
C3	R195876	external	Victorivirus		
C7	R196071	external	Tymovirales		
C5	R196072	external	Alphaflexiviridae		
C3	R196073	external	Allexivirus		
C6	R196184	external	Quinvirinae		
C3	R196276	external	Foveavirus		
C3	R196298	external	Robigovirus		
C3	R196311	external	Capillovirus		
C3	R196326	external	Citrivirus		
C3	R196362	external	Vitivirus		
C3	R196432	external	Maculavirus		
C3	R196442	external	Marafivirus		
C5	R196566	external	Virgaviridae		
C3	R196567	external	Furovirus		
C3	R196580	external	Hordeivirus		
C3	R196584	external	Pecluvirus		
C3	R196596	external	Pomovirus		
C3	R196695	external	Tobravirus		
C15	R198586	external	Satellites		
C14	D014780	internal	viruses		
C5	D000256	internal	adenoviridae		
C3	D046808	internal	atadenovirus		
C3	D000259	internal	aviadenovirus		
C3	D017921	internal	mastadenovirus		
C9	C000623757	internal	bovine mastadenovirus a		
C9	C000623855	internal	human mastadenovirus f		
C3	D046809	internal	siadenovirus		
C5	D049811	internal	anelloviridae		
C3	D046810	internal	gyrovirus		
C9	D017727	internal	chicken anemia virus		
C9	D022783	internal	torque teno virus		
C5	D029223	internal	ascoviridae		
C1	C000624050	internal	spodoptera frugiperda ascovirus 1a		
C5	D025701	internal	asfarviridae		
C9	D000358	internal	african swine fever virus		
C5	D016367	internal	baculoviridae		
C1	C000623842	internal	agrotis ipsilon multiple nucleopolyhedrovirus		
C9	C000623844	internal	antheraea pernyi nucleopolyhedrovirus		
C1	C000623799	internal	anticarsia gemmatalis multiple nucleopolyhedrovirus		
C9	C000623890	internal	bombyx mori nucleopolyhedrovirus		
C1	C000624078	internal	epiphyas postvittana nucleopolyhedrovirus		
C9	C000623905	internal	helicoverpa armigera nucleopolyhedrovirus		
C1	C000624083	internal	hyphantria cunea nucleopolyhedrovirus		
C1	C000624043	internal	lymantria dispar multiple nucleopolyhedrovirus		
C9	C000624022	internal	spodoptera exigua multiple nucleopolyhedrovirus		
C1	C000624033	internal	spodoptera frugiperda multiple nucleopolyhedrovirus		
C1	C000623996	internal	spodoptera littoralis nucleopolyhedrovirus		
C1	C000623983	internal	spodoptera litura nucleopolyhedrovirus		
C9	C000623816	internal	choristoneura fumiferana granulovirus		
C1	C000624076	internal	cryptophlebia leucotreta granulovirus		
C1	C000624046	internal	plodia interpunctella granulovirus		
C1	C000624020	internal	plutella xylostella granulovirus		
C9	C000624000	internal	trichoplusia ni granulovirus		
C1	C000624055	internal	xestia c-nigrum granulovirus		
C9	C000623770	internal	bombyx mori bidensovirus		
C7	D017899	internal	caudovirales		
C5	D017900	internal	myoviridae		
C5	D017902	internal	podoviridae		
C5	D017906	internal	siphoviridae		
C1	C000623886	internal	streptomyces virus phibt1		
C1	C000623840	internal	streptomyces virus phic31		
C5	D018136	internal	circoviridae		
C3	D017925	internal	circovirus		
C9	C000623753	internal	duck circovirus		
C1	C000623807	internal	goose circovirus		
C9	C000623811	internal	porcine circovirus 1		
C5	D019240	internal	corticoviridae		
C1	D004267	internal	dna viruses		
C5	D019241	internal	fuselloviridae		
C5	D017791	internal	geminiviridae		
C3	D053839	internal	begomovirus		
C9	C000623934	internal	abutilon mosaic virus		
C9	C000623904	internal	african cassava mosaic virus		
C9	C000624024	internal	ageratum yellow vein virus		
C1	C000624057	internal	bean dwarf mosaic virus		
C9	C000623969	internal	bean golden mosaic virus		
C9	C000624072	internal	bhendi yellow vein mosaic virus		
C9	C000624038	internal	cotton leaf curl kokhran virus		
C9	C000624060	internal	cotton leaf curl multan virus		
C9	C000624017	internal	indian cassava mosaic virus		
C9	C000623948	internal	mungbean yellow mosaic india virus		
C9	C000623964	internal	mungbean yellow mosaic virus		
C9	C000624045	internal	pepper golden mosaic virus		
C9	C000624092	internal	pepper huasteco yellow vein virus		
C9	C000624049	internal	south african cassava mosaic virus		
C9	C000623998	internal	sri lankan cassava mosaic virus		
C9	C000624067	internal	sweet potato leaf curl virus		
C9	C000624068	internal	tobacco curly shoot virus		
C9	C000624097	internal	tomato chlorotic mottle virus		
C9	C000623906	internal	tomato golden mosaic virus		
C9	C000623926	internal	tomato leaf curl new delhi virus		
C9	C000624098	internal	tomato leaf curl palampur virus		
C9	C000623932	internal	tomato leaf curl virus		
C9	C000623961	internal	tomato yellow leaf curl china virus		
C9	C000623933	internal	tomato yellow leaf curl sardinia virus		
C9	C000624069	internal	tomato yellow leaf curl thailand virus		
C9	C000623891	internal	tomato yellow leaf curl virus		
C9	C000624053	internal	watermelon chlorotic stunt virus		
C9	C000623921	internal	beet curly top virus		
C9	C000623993	internal	chickpea chlorotic dwarf virus		
C9	D026762	internal	maize streak virus		
C9	C000623930	internal	wheat dwarf virus		
C5	D023644	internal	guttaviridae		
C5	D015613	internal	hepadnaviridae		
C3	D017917	internal	avihepadnavirus		
C3	D017918	internal	orthohepadnavirus		
C9	D006515	internal	hepatitis b virus		
C1	C000623843	internal	anguillid herpesvirus 1		
C9	C000623752	internal	cyprinid herpesvirus 2		
C1	C000623727	internal	cyprinid herpesvirus 3		
C3	D052656	internal	ictalurivirus		
C5	D006564	internal	herpesviridae		
C6	D018138	internal	alphaherpesvirinae		
C3	D025921	internal	iltovirus		
C3	D025922	internal	mardivirus		
C1	C000623812	internal	anatid alphaherpesvirus 1		
C9	C000623849	internal	columbid alphaherpesvirus 1		
C3	D018139	internal	simplexvirus		
C3	D018140	internal	varicellovirus		
C1	C000623848	internal	cervid alphaherpesvirus 2		
C1	C000623792	internal	felid alphaherpesvirus 1		
C1	C000623860	internal	phocid alphaherpesvirus 1		
C6	D018141	internal	betaherpesvirinae		
C3	D003587	internal	cytomegalovirus		
C3	D018146	internal	muromegalovirus		
C3	D019211	internal	roseolovirus		
C6	D018142	internal	gammaherpesvirinae		
C3	D018143	internal	lymphocryptovirus		
C9	C000622876	internal	alcelaphine gammaherpesvirus 1		
C1	C000623730	internal	ovine gammaherpesvirus 2		
C9	C000623797	internal	suid gammaherpesvirus 5		
C1	C000623851	internal	equid gammaherpesvirus 5		
C3	D018144	internal	rhadinovirus		
C9	C000623741	internal	ostreid herpesvirus 1		
C5	D017911	internal	inoviridae		
C3	D017912	internal	inovirus		
C3	D017913	internal	plectrovirus		
C5	D007497	internal	iridoviridae		
C9	C000623738	internal	infectious spleen and kidney necrosis virus		
C3	D017995	internal	ranavirus		
C9	C000623822	internal	ambystoma tigrinum virus		
C1	C000623846	internal	bohle iridovirus		
C1	C000623802	internal	epizootic haematopoietic necrosis virus		
C3	D017994	internal	iridovirus		
C9	C000623914	internal	invertebrate iridescent virus 6		
C5	D023643	internal	lipothrixviridae		
C5	D023642	internal	rudiviridae		
C5	D017914	internal	microviridae		
C3	D017915	internal	microvirus		
C5	D056686	internal	mimiviridae		
C5	D052657	internal	nanoviridae		
C3	D052658	internal	babuvirus		
C3	D025682	internal	nanovirus		
C9	C000624028	internal	faba bean necrotic yellows virus		
C5	D046849	internal	nimaviridae		
C5	D000081342	internal	nudiviridae		
C5	D052639	internal	caulimoviridae		
C3	D019195	internal	badnavirus		
C1	C000624013	internal	cacao swollen shoot virus		
C1	C000624037	internal	commelina yellow mottle virus		
C1	C000623852	internal	gooseberry vein banding associated virus		
C9	C000623962	internal	banana streak virus		
C1	C000624065	internal	sugarcane bacilliform virus		
C3	D017796	internal	caulimovirus		
C9	C000623986	internal	dahlia mosaic virus		
C9	C000623987	internal	figwort mosaic virus		
C1	C000624034	internal	strawberry vein banding virus		
C3	D052641	internal	tungrovirus		
C5	D012190	internal	retroviridae		
C3	D001355	internal	alpharetrovirus		
C9	D001354	internal	avian leukosis virus		
C1	D009189	internal	avian myeloblastosis virus		
C3	D030121	internal	betaretrovirus		
C9	C000623796	internal	squirrel monkey retrovirus		
C3	D017977	internal	deltaretrovirus		
C9	D030261	internal	primate t-lymphotropic virus 1		
C15	D015303	internal	simian t-lymphotropic virus 1		
C9	D030263	internal	primate t-lymphotropic virus 2		
C1	D030281	internal	simian t-lymphotropic virus 2		
C9	D030282	internal	primate t-lymphotropic virus 3		
C15	D056187	internal	human t-lymphotropic virus 3		
C1	D056185	internal	simian t-lymphotropic virus 3		
C3	D030283	internal	epsilonretrovirus		
C3	D017988	internal	gammaretrovirus		
C1	D006251	internal	harvey murine sarcoma virus		
C1	D007708	internal	kirsten murine sarcoma virus		
C9	D008980	internal	moloney murine sarcoma virus		
C15	D005622	internal	friend murine leukemia virus		
C9	D001356	internal	reticuloendotheliosis virus		
C1	D000011	internal	abelson murine leukemia virus		
C3	D016086	internal	lentivirus		
C3	D016092	internal	spumavirus		
C9	D053150	internal	simian foamy virus		
C5	D027383	internal	papillomaviridae		
C3	D052685	internal	alphapapillomavirus		
C3	D052686	internal	betapapillomavirus		
C3	D052687	internal	deltapapillomavirus		
C3	D052689	internal	gammapapillomavirus		
C3	D052690	internal	kappapapillomavirus		
C1	C000623876	internal	kappapapillomavirus 1		
C3	D052691	internal	lambdapapillomavirus		
C3	D052692	internal	mupapillomavirus		
C9	C000623880	internal	omegapapillomavirus 1		
C3	D052696	internal	xipapillomavirus		
C5	D010321	internal	parvoviridae		
C6	D019223	internal	densovirinae		
C9	C000624025	internal	blattodean ambidensovirus 1		
C6	D019219	internal	parvovirinae		
C15	D000454	internal	aleutian mink disease virus		
C9	C000623806	internal	galliform aveparvovirus 1		
C9	D056661	internal	human bocavirus		
C9	C000623742	internal	avian dependoparvovirus 1		
C15	D028301	internal	feline panleukopenia virus		
C15	D053490	internal	mink enteritis virus		
C1	D052661	internal	h-1 parvovirus		
C15	D008915	internal	minute virus of mice		
C5	D017862	internal	phycodnaviridae		
C1	C000623783	internal	paramecium bursaria chlorella virus 1		
C5	D018071	internal	polydnaviridae		
C9	C000623989	internal	microplitis demolitor bracovirus		
C9	C000623963	internal	campoletis sonorensis ichnovirus		
C5	D027382	internal	polyomaviridae		
C9	C000623835	internal	human polyomavirus 9		
C1	C000623856	internal	human polyomavirus 6		
C5	D011212	internal	poxviridae		
C6	D018147	internal	chordopoxvirinae		
C3	D018150	internal	avipoxvirus		
C9	D028121	internal	canarypox virus		
C9	D005587	internal	fowlpox virus		
C3	D018151	internal	capripoxvirus		
C9	D008167	internal	lumpy skin disease virus		
C3	D018152	internal	leporipoxvirus		
C9	D009233	internal	myxoma virus		
C3	D018169	internal	molluscipoxvirus		
C9	D008977	internal	molluscum contagiosum virus		
C3	D018155	internal	orthopoxvirus		
C9	D004481	internal	ectromelia virus		
C9	D008993	internal	monkeypox virus		
C9	D012901	internal	variola virus		
